Tracy Meyer,167,20,1943-03-24
Shannon Morgan,183,30,1992-04-14
Mary Gardner,154,26,1969-06-25
Robin Floyd,159,45,1973-12-24
Kellie Nguyen,213,41,1967-01-12
Jessica Green,231,49,1985-04-25
Taylor Williams,166,34,1950-04-01
Kimberly Lewis,215,39,1987-03-19
Rebecca Jordan,224,43,1948-06-14
Audrey Cortez,208,26,1932-05-18
Alicia Garcia,199,22,1983-10-12
Angela Andrade,175,22,1920-08-14
Ms. Jennifer Chambers,168,27,2011-03-13
Lori Shah MD,202,35,2017-03-28
Stephanie Tate,233,37,2007-08-19
Jessica Bridges,209,43,1919-01-01
Alyssa Huang,208,32,2000-03-22
Kristy Maddox,182,48,2004-05-19
Morgan Andersen,161,48,1927-08-06
Alice Willis,208,43,1939-10-13
Erika Schroeder,211,50,2003-12-24
Shelby Ray,194,39,1943-08-29
Anna Fields,225,47,1911-04-14
Cindy Reynolds,170,46,1945-08-24
Kimberly Morales,184,42,1921-06-30
Kristin Green,181,34,1983-04-24
Kimberly Young,184,41,1994-09-16
Jessica Hudson,164,22,1948-01-06
Pamela Nguyen,181,45,2008-11-27
Lauren Foster,210,34,1986-10-04
Kari Johnson,186,31,1937-07-21
Janet Rose,224,44,1951-12-18
Meagan Suarez,204,21,1966-06-06
Jennifer Valdez,221,50,1957-11-10
Mrs. Jennifer Thompson DVM,180,30,1989-02-15
Wendy Munoz,221,31,1963-09-25
Sandra Peterson,175,32,1925-11-19
Nicole Mcdowell,192,46,1974-09-01
Christine Reynolds,223,32,1915-04-16
Grace Baker,187,29,1920-05-22
Ashley Reynolds,154,36,1944-04-11
Jennifer Archer,163,21,1967-06-15
Christine Jones,206,39,1968-06-27
Katherine Cline,187,47,1944-01-10
Deborah Reynolds,205,18,2022-03-29
Brandy Hall,160,22,2016-03-17
Michelle Montes,173,32,1925-02-03
Amanda Reid,177,39,1960-01-03
Deanna Armstrong,230,49,1910-11-07
Mrs. Mary Wilson,178,28,1992-01-04
Jennifer Jackson,205,50,2006-02-20
Kayla Brown,169,38,1921-03-05
Abigail Nelson,227,40,1930-03-04
Lauren Porter,172,28,1932-04-17
Brenda Powell,178,29,1974-03-28
Julie Sloan,189,20,1931-09-12
Amy Shepherd,177,44,1916-12-07
Amanda Walsh,171,37,2001-02-28
Elizabeth Baker,163,49,1994-07-11
Amanda Rodriguez,179,32,2002-08-05
Laura Lewis,239,30,1909-04-17
Melanie Baker,181,30,1984-05-25
Jennifer Bishop,194,34,1995-02-22
Terri Mcdaniel,192,23,1922-10-10
Jessica Willis,158,35,2012-06-25
Casey Smith,221,20,1985-01-27
Brittany Harrison,206,36,1994-09-14
Wendy Oliver,218,43,2011-11-13
Jamie Green DDS,219,48,1930-06-22
Margaret Simmons,235,31,1984-09-19
Amanda Chen,227,18,1969-04-20
Alexis Gallagher,223,41,2017-02-04
Beth Jones,218,45,1928-06-15
Kristine Clark,205,26,1949-12-09
Christie Valdez,160,31,1913-02-23
Lauren Miller,188,28,1914-02-25
Amber Smith,223,39,1920-06-24
Cindy Joseph,215,21,1966-09-03
Ann Morris,155,36,1989-09-16
Sara Castillo,238,30,2005-09-03
Kelly Rodriguez,166,49,1959-04-06
Melissa Rowe,208,21,1966-10-17
Virginia Porter,185,26,1995-01-02
Lindsay Adams,237,18,1997-10-09
Debra Smith,188,18,1908-04-30
Kristina Richards,170,18,1945-11-25
Cheryl Page,225,22,1906-06-05
Andrea Yang,182,26,1953-02-27
Natasha Brown,233,43,1971-03-18
Jennifer Juarez,197,28,2013-05-19
Barbara Parks,156,21,1924-04-23
Melissa Wilson,231,36,1964-11-22
Jennifer Lucas,163,45,1917-08-13
Kristen Becker,204,37,1958-04-26
Anna Bradshaw,169,50,1930-05-15
Kelly Castillo,171,28,1908-10-28
Pamela Walker,197,28,1975-03-06
Sharon Stokes,207,32,1945-04-30
Patricia Davis,222,32,1946-01-14
Tammy Hill,208,22,1925-08-19
Nichole Campbell,192,46,1952-03-16
Jackie Fuller,228,47,1986-06-01
Michele Palmer,172,31,1988-02-04
Briana Moore,166,25,1924-01-21
Melissa Holland,229,47,2005-05-28
April Mcneil,206,40,1973-05-03
Rebecca Graves,229,21,1917-12-17
Angela Olsen,188,34,1953-09-10
Mary Duncan,168,41,2009-09-30
Lauren Jones,177,40,1972-07-23
Ashley Sanchez,154,38,1912-04-28
Andrea Pope,196,25,1949-05-04
Janet Phillips,158,26,2013-12-19
Kristi Johnson,232,38,2003-09-15
Gloria Thompson,166,23,1912-09-01
Nicole Martinez,193,28,1996-11-08
Kelsey Herring MD,158,40,1908-05-11
Bethany Davis,195,18,1951-12-08
Sarah Macias,178,22,1983-10-22
Amy Brown,201,23,1936-11-29
Lisa Brown,232,38,2019-07-16
Andrea Turner,232,23,1962-11-21
Julie Shelton,201,41,1969-04-02
April White,215,33,1955-09-24
Michelle Chavez,218,36,1981-05-27
Cassandra Turner,215,41,1971-01-28
Mrs. Hannah Johnson,182,44,1914-05-31
Jennifer Austin,159,29,1908-10-02
Rose Ray,226,49,1930-11-21
Gina Taylor,214,39,1913-08-31
Beverly Williams,203,26,1993-02-05
Melissa Valdez,189,47,1950-09-03
Michelle Dennis,156,29,1936-06-05
Cynthia Sanchez,170,19,2019-12-02
Mrs. Michelle Meyer,224,45,2017-01-12
Jeanne Khan,155,35,1978-10-31
Vanessa Mccullough,167,35,1931-02-27
Cheryl Patel,175,28,1953-12-28
Laura Townsend,169,32,1910-08-29
Sydney Yang,234,47,1954-02-22
