Dr. Ricky Good,214,36,1989-04-29
Eric Lewis,166,27,1927-09-26
Charles Poole,201,38,1990-12-20
Darren Larson MD,211,47,1968-08-30
Eric Mendoza,228,24,1978-06-15
Billy Reed,176,25,2009-03-17
Brandon Lindsey,226,50,2008-12-06
Billy May,214,41,2009-08-25
James Beard,184,49,1995-07-18
Eric Acevedo,232,49,1962-12-19
Jacob Jones MD,189,41,2019-07-05
Kenneth Greene,239,50,1920-11-16
Maxwell Dunlap,159,30,2000-07-05
Jacob Bender,210,39,1926-06-05
Todd Nelson,183,28,1912-08-29
Marcus Walker,156,18,1980-04-12
John Rodriguez,171,26,1937-03-26
Carl King,200,45,2006-08-23
Jeremy Rodriguez,206,48,1989-04-30
Harry Rose,238,50,1968-05-09
Joshua Martin,202,44,1922-09-12
Antonio Jenkins,209,28,1995-07-05
Rodney Henry,161,48,1971-02-03
Richard Nguyen,209,19,1954-05-30
Jason Martin,154,48,1992-07-29
Walter Rodriguez,190,28,1993-04-20
Justin Chavez,206,37,1985-01-19
Andrew Brown,159,20,1923-06-07
Willie Foster,181,38,1922-07-19
James Wright,200,22,1963-09-27
Gabriel Gentry,198,28,1953-01-07
Michael Webster,237,22,1984-06-10
Anthony Holt,180,40,1951-11-06
Brandon Downs,174,46,2016-02-16
Phillip Rodgers,180,21,1909-07-20
Shawn Schmidt,161,50,1948-01-14
Travis Taylor,239,45,1999-05-06
Nicholas Freeman,222,40,2006-11-19
Mario Huynh,186,31,2018-11-20
Jason Nash,163,36,1969-12-29
Jared Hicks,169,32,1970-10-16
Jeffrey Ellis,187,25,1979-08-14
John Taylor,205,37,1917-05-09
Anthony Rowe,188,18,1970-06-11
Michael Goodman,177,37,1958-09-07
Dillon Cohen,233,34,1982-03-11
Robert Johnson III,223,49,1936-07-03
Jack Bowen,181,44,1920-05-13
Joshua Henry,157,20,1915-07-13
Stephen Harris,191,20,2010-02-24
Randy Ford,226,23,2017-07-17
Gary Hill,155,37,2004-08-10
Alexander Mason,231,26,1998-06-21
Derek Peters,170,44,1991-07-17
Kevin Gonzalez,208,25,1913-11-04
Carlos Martinez,233,41,1939-05-21
Brian Huerta,178,30,1987-04-11
Ryan Ray,210,37,1955-01-22
Robert Little,212,26,1935-02-17
Justin Saunders,223,41,1968-09-06
Michael Chapman,219,47,2017-02-24
Kevin Calderon,233,24,1936-06-15
Ethan Thompson,169,22,1993-02-25
Jason Herman IV,216,46,1977-07-01
James Christensen II,175,30,1934-10-16
Wesley Ford,153,25,1934-10-08
Patrick Reyes,219,42,1999-12-09
Shaun Rogers,235,33,1978-09-09
Bradley Baker,239,26,1972-09-23
Justin Flores,168,40,1941-06-13
Matthew Parks,212,35,1955-05-11
Jordan Scott,210,46,1906-09-26
Joseph Rogers,192,38,1964-10-01
Jonathan Matthews,178,48,1909-07-22
Steven Foster,173,33,1933-05-23
William Long,160,38,1996-12-29
James Martin,199,21,1929-07-14
Derek Pierce,175,24,2002-07-03
Keith Moore,168,20,1991-04-06
Levi Michael,202,30,1929-12-19
Timothy Morton,204,42,1937-05-08
Steve Woods,161,37,1982-04-24
Kyle Mccoy,215,27,1913-10-09
Robert Price,222,26,2018-02-21
Dennis Williams,201,38,1945-09-22
Christian Landry,197,32,2002-04-02
Kevin Proctor DDS,155,45,1913-02-28
Casey Martinez DDS,181,31,1986-12-19
Christopher Rodriguez,184,41,2001-09-13
James Davis,176,35,1967-01-14
Robert Schroeder,227,40,1995-05-30
Stephen Thomas,220,36,1938-08-07
Joseph Walker,197,25,1950-10-21
Gary Bowman,168,19,1986-11-02
Michael Smith,207,32,1912-07-29
Jerry Martin,193,35,1989-09-07
Mario Perez DDS,194,18,1964-05-05
Christopher White,213,20,1919-10-11
Michael Long,238,50,2021-04-08
Troy Watts,236,42,1937-05-12
David Jones,165,37,1985-04-25
David Pace,211,28,1990-10-18
David Evans,173,47,1996-08-03
Zachary Rogers,235,29,1952-08-13
Matthew Carroll,166,33,1969-03-21
Mr. David Kent,181,23,1938-04-24
Melvin Ortiz,201,18,1944-04-21
Michael Martinez,234,26,1988-11-23
Kenneth Castro,229,34,2012-12-30
Alex Arroyo,172,41,1990-12-04
Ryan Evans,169,21,1964-01-17
Connor Morales,162,47,2001-05-09
Anthony Davis,194,38,2018-11-20
Angel Williams,207,50,2017-10-12
Edward Morris,234,38,2000-04-18
Brett Fisher,235,49,1979-01-27
Christopher Davidson,212,29,1989-06-28
David Walker,196,35,1969-01-09
Michael Sutton,203,26,1926-09-11
Brian Lloyd,181,48,1912-02-11
Raymond Hogan,208,47,1925-09-19
Jason Abbott,159,44,1963-09-28
Shane Hill,195,34,1957-07-12
Lee Hinton,157,23,1927-06-16
Daniel Walker,221,24,1970-12-27
Brett Grant Jr.,193,26,1949-05-26
Chase Barton,174,41,1949-05-20
Michael Douglas MD,169,19,1979-01-19
Dean Marquez,211,45,1957-09-27
Aaron Huff,213,23,1976-07-31
William Lane,163,29,1969-01-18
Kirk Johnson,178,28,1924-12-29
Ryan Pennington,234,37,2000-12-03
David Armstrong,154,36,1915-06-12
Aaron Burton,195,47,1986-03-02
Barry Martinez,199,36,1915-06-27
Chad Williams,237,37,1961-03-14
