Edward Terrell,205,50,1969-05-25
Brian Jimenez,199,43,1979-10-08
Casey Sutton,202,50,1992-05-03
Oscar Giles,159,42,1978-05-24
Steven Kent,215,21,1908-02-03
John Jones,232,22,1989-07-24
Richard Perry,164,45,1959-03-09
Gary Adkins,217,29,1950-05-04
David Brown,169,21,1942-10-25
Kenneth Oconnor,237,19,1936-03-03
Danny Alexander,200,18,2019-11-01
Jason Harris MD,179,30,1916-12-24
Dr. Cody Sanchez Jr.,234,21,1907-05-23
Matthew Chavez,170,29,1983-05-09
Richard Malone,175,20,1971-04-13
Jacob Thomas,156,34,1909-06-24
David Pena,205,36,1969-09-29
Victor Dunn,213,49,1912-07-03
Jonathan Jones,194,49,1941-11-15
Paul Nelson,238,34,1908-10-03
Micheal Hoffman,214,45,2018-09-02
Samuel Estes,158,36,1960-11-28
Patrick Williams,163,37,1940-09-23
Eugene Smith,217,38,1978-01-15
Brian Rodriguez,155,30,1944-02-13
Douglas Holt,171,46,1922-02-17
Jeremy Duffy,232,48,1965-03-02
Jose Greer,185,24,1926-01-22
Tony Willis,164,28,1929-11-15
Jeffrey Preston,210,48,1974-07-15
Christopher Baker,209,27,1953-09-30
Clinton Hanson,209,43,1916-04-08
John Lawrence,176,22,2009-10-19
Jason Perez,197,25,2005-12-14
James Thompson,203,35,1995-02-23
Kenneth Scott,174,40,1965-11-12
Nicholas Allen,157,28,1991-03-18
Anthony Craig,238,42,1942-03-11
Eric Chung,162,25,1984-06-13
Steven Davis,231,32,1954-02-02
Eric Nelson,180,39,1990-09-16
William Chavez,207,19,1926-09-11
Dwayne Moreno,235,42,1954-02-05
Samuel Richardson MD,170,45,2000-08-20
Robert Nunez,209,24,1998-04-09
Ryan West,158,34,1909-05-17
Matthew Hahn,228,22,2021-10-15
Jonathan Cook,234,24,1943-08-10
Joshua Edwards,178,46,1983-01-09
William Patrick,218,22,1943-06-30
Mr. Aaron Taylor,207,50,1990-03-12
Keith Shepherd,224,31,1950-07-31
Wesley Jackson,171,25,1916-08-16
Scott Figueroa,217,29,1985-01-01
Benjamin Moore,183,47,1968-03-31
William Baxter,172,25,1970-06-09
Jeremy Lambert,230,42,1946-11-16
Jared Williams,173,33,1918-12-18
Luis Garcia,177,23,1996-08-06
Caleb Gonzalez,202,22,1906-08-16
Kenneth Jensen,232,38,1921-08-27
Alexis Hart,196,44,2000-08-28
Mr. Joshua Smith PhD,180,36,1949-05-14
Kenneth Wolfe,173,37,1912-02-04
Scott Fuller,171,33,1945-01-24
James Barton,208,20,1928-06-21
Eric Hudson,201,30,1940-05-30
James Bryant,164,23,1977-04-14
Robert May,227,36,1992-07-05
Stephen Wilson,210,27,1995-04-18
Eric Ford,161,35,1911-12-26
Tommy Schaefer,199,31,1947-03-28
Zachary Mitchell,195,37,2016-03-19
William Holt,176,37,1943-04-07
Stephen Stewart,233,25,1939-11-10
Brian Miller,213,41,1950-04-28
Steven Wheeler,179,24,1965-05-13
Aaron Sanchez,182,30,1926-08-19
Andre Gentry,176,50,2021-08-10
Jason Johnston,205,29,2002-07-20
Robert Oconnor,222,30,1970-09-09
Jesse Francis,162,45,1969-03-31
Larry Vaughan,172,36,1968-11-22
Joseph Edwards,210,32,2010-11-15
Travis Meyer,214,48,1918-06-28
Gregory Osborn,206,40,1961-10-11
Jason Phillips,211,37,1993-06-17
Charles Richard,160,26,1996-01-16
Gary Barber,216,35,1961-05-19
Randy Grant,200,21,1946-10-26
Dr. Randy Bird,179,43,1966-10-02
Cody Lee,181,28,1924-03-10
Steven Miller,161,24,1996-08-01
Ronald Logan,176,47,1985-11-01
Jose Choi,196,36,2002-11-06
Larry Campbell DDS,190,36,1916-03-28
Michael Brady,186,49,1981-11-03
Christopher Irwin,195,43,1933-09-21
